Epoch [134/450], Loss-Train: 0.1598, Accuracy-Train: 0.9357, Loss-Test: 0.1809, Accuracy-Test: 0.9303
Epoch [135/450], Loss-Train: 0.1632, Accuracy-Train: 0.9320, Loss-Test: 0.1839, Accuracy-Test: 0.9258
Epoch [136/450], Loss-Train: 0.1615, Accuracy-Train: 0.9316, Loss-Test: 0.1733, Accuracy-Test: 0.9273
Epoch [137/450], Loss-Train: 0.1629, Accuracy-Train: 0.9316, Loss-Test: 0.1789, Accuracy-Test: 0.9303
Epoch [138/450], Loss-Train: 0.1614, Accuracy-Train: 0.9276, Loss-Test: 0.1796, Accuracy-Test: 0.9288
Epoch [139/450], Loss-Train: 0.1623, Accuracy-Train: 0.9290, Loss-Test: 0.1779, Accuracy-Test: 0.9318
Epoch [140/450], Loss-Train: 0.1732, Accuracy-Train: 0.9294, Loss-Test: 0.1806, Accuracy-Test: 0.9258
Epoch [141/450], Loss-Train: 0.1716, Accuracy-Train: 0.9264, Loss-Test: 0.1860, Accuracy-Test: 0.9303
Epoch [142/450], Loss-Train: 0.1688, Accuracy-Train: 0.9305, Loss-Test: 0.1805, Accuracy-Test: 0.9303
Epoch [143/450], Loss-Train: 0.1618, Accuracy-Train: 0.9287, Loss-Test: 0.1788, Accuracy-Test: 0.9258
Epoch [144/450], Loss-Train: 0.1624, Accuracy-Train: 0.9320, Loss-Test: 0.1744, Accuracy-Test: 0.9303
Epoch [145/450], Loss-Train: 0.1676, Accuracy-Train: 0.9261, Loss-Test: 0.1756, Accuracy-Test: 0.9303
Epoch [146/450], Loss-Train: 0.1675, Accuracy-Train: 0.9261, Loss-Test: 0.1903, Accuracy-Test: 0.9258
Epoch [147/450], Loss-Train: 0.1701, Accuracy-Train: 0.9257, Loss-Test: 0.1779, Accuracy-Test: 0.9332
Epoch [148/450], Loss-Train: 0.1596, Accuracy-Train: 0.9298, Loss-Test: 0.1818, Accuracy-Test: 0.9318
Epoch [149/450], Loss-Train: 0.1615, Accuracy-Train: 0.9328, Loss-Test: 0.1780, Accuracy-Test: 0.9273
