Epoch [159/500], Loss-Train: 0.2181, Accuracy-Train: 0.9090, Loss-Test: 0.4448, Accuracy-Test: 2.3194
Epoch [160/500], Loss-Train: 0.2272, Accuracy-Train: 0.9052, Loss-Test: 2.3130, Accuracy-Test: 1.8109
Epoch [161/500], Loss-Train: 0.2233, Accuracy-Train: 0.9073, Loss-Test: 0.4755, Accuracy-Test: 2.3190
Epoch [162/500], Loss-Train: 0.2150, Accuracy-Train: 0.9114, Loss-Test: 0.4306, Accuracy-Test: 2.3248
Epoch [163/500], Loss-Train: 0.2170, Accuracy-Train: 0.9114, Loss-Test: 0.4313, Accuracy-Test: 2.3251
Epoch [164/500], Loss-Train: 0.2124, Accuracy-Train: 0.9131, Loss-Test: 0.4247, Accuracy-Test: 2.3277
Epoch [165/500], Loss-Train: 0.2145, Accuracy-Train: 0.9105, Loss-Test: 0.4279, Accuracy-Test: 2.3247
Epoch [166/500], Loss-Train: 0.2137, Accuracy-Train: 0.9126, Loss-Test: 0.4705, Accuracy-Test: 2.3269
Epoch [167/500], Loss-Train: 0.2149, Accuracy-Train: 0.9109, Loss-Test: 0.4285, Accuracy-Test: 2.3247
Epoch [168/500], Loss-Train: 0.2113, Accuracy-Train: 0.9128, Loss-Test: 0.4333, Accuracy-Test: 2.3273
Epoch [169/500], Loss-Train: 0.2113, Accuracy-Train: 0.9130, Loss-Test: 0.4373, Accuracy-Test: 2.3271
Epoch [170/500], Loss-Train: 0.2183, Accuracy-Train: 0.9089, Loss-Test: 0.4574, Accuracy-Test: 2.3113
Epoch [171/500], Loss-Train: 0.2645, Accuracy-Train: 0.8869, Loss-Test: 0.5005, Accuracy-Test: 2.2903
Epoch [172/500], Loss-Train: 0.2270, Accuracy-Train: 0.9053, Loss-Test: 0.7702, Accuracy-Test: 2.3170
Epoch [173/500], Loss-Train: 0.2211, Accuracy-Train: 0.9063, Loss-Test: 0.4361, Accuracy-Test: 2.3174
Epoch [174/500], Loss-Train: 0.2140, Accuracy-Train: 0.9102, Loss-Test: 0.4219, Accuracy-Test: 2.3251
Epoch [175/500], Loss-Train: 0.2099, Accuracy-Train: 0.9135, Loss-Test: 0.5244, Accuracy-Test: 2.3293
Epoch [176/500], Loss-Train: 0.2056, Accuracy-Train: 0.9148, Loss-Test: 0.6880, Accuracy-Test: 2.3318
Epoch [177/500], Loss-Train: 0.2048, Accuracy-Train: 0.9144, Loss-Test: 0.4060, Accuracy-Test: 2.3318
Epoch [178/500], Loss-Train: 0.2011, Accuracy-Train: 0.9181, Loss-Test: 0.4012, Accuracy-Test: 2.3374
Epoch [179/500], Loss-Train: 0.2020, Accuracy-Train: 0.9161, Loss-Test: 0.4746, Accuracy-Test: 2.3315
Epoch [180/500], Loss-Train: 0.2065, Accuracy-Train: 0.9135, Loss-Test: 0.4545, Accuracy-Test: 2.3267
Epoch [181/500], Loss-Train: 0.2202, Accuracy-Train: 0.9070, Loss-Test: 0.6011, Accuracy-Test: 2.3208
Epoch [182/500], Loss-Train: 0.2148, Accuracy-Train: 0.9085, Loss-Test: 0.4253, Accuracy-Test: 2.3233
Epoch [183/500], Loss-Train: 0.2074, Accuracy-Train: 0.9126, Loss-Test: 0.4822, Accuracy-Test: 2.3296
Epoch [184/500], Loss-Train: 0.2020, Accuracy-Train: 0.9160, Loss-Test: 0.4003, Accuracy-Test: 2.3351
Epoch [185/500], Loss-Train: 0.1972, Accuracy-Train: 0.9171, Loss-Test: 1.0779, Accuracy-Test: 1.8372
Epoch [186/500], Loss-Train: 0.1934, Accuracy-Train: 0.9208, Loss-Test: 0.3862, Accuracy-Test: 2.3425
Epoch [187/500], Loss-Train: 0.1933, Accuracy-Train: 0.9187, Loss-Test: 0.8280, Accuracy-Test: 1.8397
Epoch [188/500], Loss-Train: 0.1945, Accuracy-Train: 0.9196, Loss-Test: 0.3885, Accuracy-Test: 2.3406
Epoch [189/500], Loss-Train: 0.1908, Accuracy-Train: 0.9211, Loss-Test: 0.4265, Accuracy-Test: 2.3435
Epoch [190/500], Loss-Train: 0.1918, Accuracy-Train: 0.9215, Loss-Test: 0.4021, Accuracy-Test: 2.3434
Epoch [191/500], Loss-Train: 0.1968, Accuracy-Train: 0.9165, Loss-Test: 0.3877, Accuracy-Test: 2.3358
Epoch [192/500], Loss-Train: 0.1893, Accuracy-Train: 0.9208, Loss-Test: 0.3775, Accuracy-Test: 2.3431
Epoch [193/500], Loss-Train: 0.1881, Accuracy-Train: 0.9212, Loss-Test: 0.3745, Accuracy-Test: 2.3439
Epoch [194/500], Loss-Train: 0.1876, Accuracy-Train: 0.9193, Loss-Test: 0.3775, Accuracy-Test: 2.3408
Epoch [195/500], Loss-Train: 0.1902, Accuracy-Train: 0.9214, Loss-Test: 0.3855, Accuracy-Test: 2.3448
Epoch [196/500], Loss-Train: 0.1855, Accuracy-Train: 0.9220, Loss-Test: 0.3698, Accuracy-Test: 2.3458
Epoch [197/500], Loss-Train: 0.1893, Accuracy-Train: 0.9200, Loss-Test: 0.3761, Accuracy-Test: 2.3424
Epoch [198/500], Loss-Train: 0.1854, Accuracy-Train: 0.9225, Loss-Test: 0.4122, Accuracy-Test: 2.3463
Epoch [199/500], Loss-Train: 0.1837, Accuracy-Train: 0.9240, Loss-Test: 0.3659, Accuracy-Test: 2.3489
Epoch [200/500], Loss-Train: 0.1816, Accuracy-Train: 0.9239, Loss-Test: 0.3609, Accuracy-Test: 2.3486
Epoch [201/500], Loss-Train: 0.1794, Accuracy-Train: 0.9244, Loss-Test: 0.3568, Accuracy-Test: 2.3499
Epoch [202/500], Loss-Train: 0.1780, Accuracy-Train: 0.9238, Loss-Test: 0.3619, Accuracy-Test: 2.3487
Epoch [203/500], Loss-Train: 0.1851, Accuracy-Train: 0.9217, Loss-Test: 0.3702, Accuracy-Test: 2.3451
Epoch [204/500], Loss-Train: 0.1885, Accuracy-Train: 0.9215, Loss-Test: 0.4812, Accuracy-Test: 2.3376
Epoch [205/500], Loss-Train: 0.1979, Accuracy-Train: 0.9158, Loss-Test: 0.3878, Accuracy-Test: 2.3374
Epoch [206/500], Loss-Train: 0.2143, Accuracy-Train: 0.9096, Loss-Test: 0.4321, Accuracy-Test: 2.3150
Epoch [207/500], Loss-Train: 0.2106, Accuracy-Train: 0.9133, Loss-Test: 0.4103, Accuracy-Test: 2.3296
Epoch [208/500], Loss-Train: 0.1983, Accuracy-Train: 0.9131, Loss-Test: 0.4911, Accuracy-Test: 2.3267
Epoch [209/500], Loss-Train: 0.1900, Accuracy-Train: 0.9201, Loss-Test: 0.3841, Accuracy-Test: 2.3398
Epoch [210/500], Loss-Train: 0.1876, Accuracy-Train: 0.9200, Loss-Test: 0.3749, Accuracy-Test: 2.3425
Epoch [211/500], Loss-Train: 0.1830, Accuracy-Train: 0.9223, Loss-Test: 0.7473, Accuracy-Test: 1.8439
Epoch [212/500], Loss-Train: 0.1778, Accuracy-Train: 0.9242, Loss-Test: 0.3590, Accuracy-Test: 2.3506
Epoch [213/500], Loss-Train: 0.1686, Accuracy-Train: 0.9276, Loss-Test: 0.3362, Accuracy-Test: 2.3570
Epoch [214/500], Loss-Train: 0.1742, Accuracy-Train: 0.9258, Loss-Test: 0.3640, Accuracy-Test: 2.3449
Epoch [215/500], Loss-Train: 0.1981, Accuracy-Train: 0.9157, Loss-Test: 0.3985, Accuracy-Test: 2.3317
